Claim_ID,Damage_Category,Sub_Detail,Property_Type,Region,US_State,Distance_From_Listing_M,Num_Guests,Children_Present,Elderly_Only_Group,Party_Flag,Pet_Present,Pet_Caused_Damage,Guest_Claim,Evidence_Available,Evidence_Type_Reviewed,Reporting_Delay_Hours,Reporting_Window_Status,Item_Age_Years,Depreciation_Applicable,Depreciation_Pct_Applied,Date_Reported,Date_Resolved,Resolution_Days,Estimated_Damage_USD,Outcome,Resolution_Type,Decision_Basis,Amount_Charged_to_Guest_USD,AirCover_Host_Reimbursement_USD
ACH-0011,Furniture Damage,,Condo,Europe - EU,,240.8,8,No,No,No,No,No,No damage at checkout,No,No photo/video evidence,107,Within Window - Days 3-7,2.2,Yes,0.264,2024-07-09,2024-07-18,9,487.71,Waived,N/A,Ineligible - Incident Beyond 100m Radius of Listing,0,0
ACH-0012,Scratch Damage,Major Scratch (Affects Aesthetics),Condo,Australia/NZ,,15.7,2,No,No,No,No,No,Pre-existing condition,Yes,Guest: checkin photo/video (claims pre-existing),305,Within Window - Days 8-14,0,N/A,0,2024-05-06,2024-05-22,16,37.34,Waived,N/A,Guest Evidence Verified - Pre-existing Confirmed,0,0
ACH-0013,Art & Valuables Damage,,Apartment,North America - US,NY,99.4,2,No,No,No,No,No,No damage at checkout,No,No photo/video evidence,48,Within Window - 48 Hrs or Less,2.3,No,0.0,2023-11-10,2023-11-13,3,9878.35,Charged,Reimbursement,Prompt Reporting (Within 48 Hrs) - Host Claim Supported,9878.35,9878.35
ACH-0014,Furniture Damage,,Cabin,North America - Canada,,323.5,1,No,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,0,Within Window - 48 Hrs or Less,0.3,Yes,0.036,2023-08-05,2023-08-07,2,1910.55,Waived,N/A,Ineligible - Incident Beyond 100m Radius of Listing,0,0
ACH-0015,Deep Cleaning Required,,House,North America - US,CA,12.9,2,Yes,No,No,No,No,Pre-existing condition,No,No photo/video evidence,152,Within Window - Days 3-7,0,N/A,0,2023-09-02,2023-09-04,2,381.77,Charged,Reimbursement,No Evidence - Delayed Reporting Weakens Guest Claim,381.77,381.77
ACH-0016,Art & Valuables Damage,,Apartment,North America - US,AZ,325.9,7,No,No,No,No,No,Pre-existing condition,Yes,Guest: checkin photo/video (claims pre-existing),11,Within Window - 48 Hrs or Less,4.6,No,0.0,2023-09-19,2023-09-20,1,4598.21,Waived,N/A,Ineligible - Incident Beyond 100m Radius of Listing,0,0
ACH-0017,Linen/Bedding Stain,General Stain (washable),Apartment,Australia/NZ,,7.6,3,No,No,No,No,No,Pre-existing condition,Yes,Guest: checkin photo/video (claims pre-existing),40,Within Window - 48 Hrs or Less,0,N/A,0,2024-06-28,2024-07-09,11,143.38,Waived,N/A,Guest Evidence Verified - Pre-existing Confirmed,0,0
ACH-0018,Kitchenware Breakage,,Villa,North America - US,TX,78.2,3,No,Yes,No,No,No,No damage at checkout,No,No photo/video evidence,23,Within Window - 48 Hrs or Less,0,N/A,0,2024-09-06,2024-09-18,12,173.09,Charged,Reimbursement,Prompt Reporting (Within 48 Hrs) - Host Claim Supported,173.09,173.09
ACH-0019,Kitchenware Breakage,,Cabin,North America - US,NY,5.1,5,Yes,No,Yes,No,No,Pre-existing condition,Yes,Guest: checkin photo/video (claims pre-existing),60,Within Window - Days 3-7,0,N/A,0,2024-05-02,2024-05-09,7,258.84,Waived,N/A,Guest Evidence Verified - Pre-existing Confirmed,0,0
ACH-0020,Wall/Ceiling Damage,Paint Damage,Apartment,Asia Pacific,,49.1,7,No,No,No,Yes,No,No damage at checkout,Yes,Guest: checkout photo/video,6,Within Window - 48 Hrs or Less,0,N/A,0,2024-09-19,2024-09-21,2,1717.35,Waived,N/A,Paint Touch-up - Not Covered Unless Severe,0,0
ACH-0021,Appliance Damage,,Condo,Europe - UK,,8.8,1,No,No,No,No,No,Pre-existing condition,No,No photo/video evidence,172,Within Window - Days 8-14,6.8,Yes,0.8,2023-11-07,2023-11-22,15,1319.56,Charged,Reimbursement,No Evidence - Delayed Reporting Weakens Guest Claim,263.91,263.91
ACH-0022,Furniture Damage,,Condo,Australia/NZ,,2.4,1,No,No,No,Yes,No,No damage at checkout,Yes,Guest: checkout photo/video,436,Outside 14-Day Window (Rejected),7.0,Yes,0.8,2024-09-21,2024-09-22,1,1947.5,Waived,N/A,Claim Rejected - Reported Outside 14-Day Window,0,0
ACH-0023,Carpet/Flooring Damage,,Apartment,Asia Pacific,,8.2,3,No,No,No,No,No,Pre-existing condition,Yes,Guest: checkin photo/video (claims pre-existing),0,Within Window - 48 Hrs or Less,0,N/A,0,2023-09-10,2023-09-16,6,728.2,Waived,N/A,Guest Evidence Verified - Pre-existing Confirmed,0,0
ACH-0024,Linen/Bedding Stain,General Stain (washable),Apartment,North America - US,CA,16.5,3,No,No,No,No,No,No damage at checkout,No,No photo/video evidence,8,Within Window - 48 Hrs or Less,0,N/A,0,2023-12-02,2023-12-10,8,69.77,Waived,N/A,Washable Stain - Normal Wear and Tear,0,0
ACH-0025,Scratch Damage,Minor Scratch,Cabin,North America - US,CA,18.1,2,Yes,No,No,No,No,Pre-existing condition,No,No photo/video evidence,16,Within Window - 48 Hrs or Less,0,N/A,0,2024-05-19,2024-06-05,17,191.5,Waived,N/A,Minor Scratch - Normal Wear and Tear,0,0
ACH-0026,Linen/Bedding Stain,Torn Fabric,House,North America - US,NY,62.7,7,No,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,10,Within Window - 48 Hrs or Less,0,N/A,0,2024-04-22,2024-04-24,2,156.87,Waived,N/A,Guest Evidence Verified - Checkout Condition Confirmed,0,0
ACH-0027,Art & Valuables Damage,,Villa,North America - US,IL,9.6,3,No,No,Yes,No,No,No damage at checkout,No,No photo/video evidence,176,Within Window - Days 8-14,4.9,No,0.0,2024-03-18,2024-03-21,3,4307.64,Charged,Reimbursement,Party Flagged - Damage Attributed to Event,4307.64,4307.64
ACH-0028,Art & Valuables Damage,,Villa,Asia Pacific,,33.2,2,No,No,No,No,No,No damage at checkout,No,No photo/video evidence,286,Within Window - Days 8-14,5.0,No,0.0,2024-02-08,2024-02-13,5,2506.74,Waived,N/A,"Late Reporting (8-14 Days) - Weaker Host Claim, Still Within Window",0,0
ACH-0029,Pet Damage,,House,Europe - EU,,4.7,6,No,Yes,No,Yes,Yes,No damage at checkout,Yes,Guest: checkout photo/video,249,Within Window - Days 8-14,0,N/A,0,2023-12-16,2024-01-05,20,1029.42,Waived,N/A,Guest Evidence Verified - Checkout Condition Confirmed,0,0
ACH-0030,Kitchenware Breakage,,Condo,Asia Pacific,,8.7,7,No,No,No,No,No,No damage at checkout,No,No photo/video evidence,4,Within Window - 48 Hrs or Less,0,N/A,0,2024-07-08,2024-07-11,3,139.76,Charged,Reimbursement,Prompt Reporting (Within 48 Hrs) - Host Claim Supported,139.76,139.76
ACH-0031,Kitchenware Breakage,,Cabin,North America - Canada,,422.1,3,No,No,No,Yes,No,Pre-existing condition,No,No photo/video evidence,25,Within Window - 48 Hrs or Less,0,N/A,0,2023-10-22,2023-10-25,3,90.52,Waived,N/A,Ineligible - Incident Beyond 100m Radius of Listing,0,0
ACH-0032,Linen/Bedding Stain,Torn Fabric,Villa,Europe - UK,,26.4,2,No,No,No,Yes,No,No damage at checkout,No,No photo/video evidence,21,Within Window - 48 Hrs or Less,0,N/A,0,2024-01-29,2024-02-08,10,134.36,Charged,Repair,"Torn Fabric - Repairable, Repair Recommended",131.97,131.97
ACH-0033,Electronics Damage,,Condo,North America - US,CA,8.8,4,No,No,No,No,No,Pre-existing condition,No,No photo/video evidence,14,Within Window - 48 Hrs or Less,3.1,Yes,0.372,2024-06-28,2024-07-06,8,2212.24,Waived,N/A,No Evidence - Fast Reporting Supports Guest,0,0
ACH-0034,Pet Damage,,Condo,North America - US,TX,4.1,7,Yes,No,No,Yes,Yes,No damage at checkout,No,No photo/video evidence,42,Within Window - 48 Hrs or Less,0,N/A,0,2023-12-14,2023-12-16,2,1244.26,Charged,Reimbursement,Group Composition Risk - Children Present,1244.26,1244.26
ACH-0035,Electronics Damage,,Condo,Australia/NZ,,8.2,6,No,No,No,No,No,Pre-existing condition,No,No photo/video evidence,339,Outside 14-Day Window (Rejected),5.0,Yes,0.6,2023-11-03,2023-11-06,3,1065.4,Waived,N/A,Claim Rejected - Reported Outside 14-Day Window,0,0
ACH-0036,Linen/Bedding Stain,General Stain (washable),Villa,Europe - EU,,13.2,1,No,No,No,No,No,No damage at checkout,No,No photo/video evidence,17,Within Window - 48 Hrs or Less,0,N/A,0,2023-12-14,2023-12-20,6,24.12,Waived,N/A,Washable Stain - Normal Wear and Tear,0,0
ACH-0037,Scratch Damage,Minor Scratch,Villa,North America - US,NC,8.2,5,No,No,No,No,No,No damage at checkout,No,No photo/video evidence,1,Within Window - 48 Hrs or Less,0,N/A,0,2023-09-07,2023-09-12,5,237.27,Waived,N/A,Minor Scratch - Normal Wear and Tear,0,0
ACH-0038,Deep Cleaning Required,,Villa,North America - US,NY,12.0,7,No,No,No,No,No,Pre-existing condition,No,No photo/video evidence,212,Within Window - Days 8-14,0,N/A,0,2023-10-25,2023-10-30,5,539.06,Charged,Reimbursement,No Evidence - Delayed Reporting Weakens Guest Claim,539.06,539.06
ACH-0039,Missing Item,,Condo,Europe - EU,,6.3,8,No,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,94,Within Window - Days 3-7,0.3,Yes,0.036,2024-01-11,2024-01-19,8,1390.54,Waived,N/A,Missing Item - No Pre-Checkin Proof of Existence,0,0
ACH-0040,Kitchenware Breakage,,House,Asia Pacific,,7.2,3,No,No,No,No,No,Pre-existing condition,No,No photo/video evidence,45,Within Window - 48 Hrs or Less,0,N/A,0,2024-09-20,2024-09-23,3,164.03,Charged,Reimbursement,No Evidence - Delayed Reporting Weakens Guest Claim,164.03,164.03
ACH-0041,Electronics Damage,,Cabin,Australia/NZ,,32.5,8,Yes,No,No,Yes,No,No damage at checkout,Yes,Guest: checkout photo/video,285,Within Window - Days 8-14,0.3,Yes,0.036,2024-09-27,2024-10-08,11,1646.79,Waived,N/A,Guest Evidence Verified - Checkout Condition Confirmed,0,0
ACH-0042,Deep Cleaning Required,,Condo,North America - US,NY,12.2,3,Yes,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,95,Within Window - Days 3-7,0,N/A,0,2023-09-26,2023-09-28,2,460.71,Waived,N/A,Guest Evidence Verified - Checkout Condition Confirmed,0,0
ACH-0043,Art & Valuables Damage,,Condo,Europe - EU,,12.4,5,No,No,No,No,No,No damage at checkout,No,No photo/video evidence,18,Within Window - 48 Hrs or Less,1.4,No,0.0,2024-03-03,2024-03-07,4,9236.56,Charged,Reimbursement,Prompt Reporting (Within 48 Hrs) - Host Claim Supported,9236.56,9236.56
ACH-0044,Furniture Damage,,Apartment,Europe - UK,,33.7,6,Yes,No,No,No,No,No damage at checkout,No,No photo/video evidence,167,Within Window - Days 3-7,3.5,Yes,0.42,2024-03-10,2024-03-15,5,1274.03,Charged,Reimbursement,Group Composition Risk - Children Present,738.94,738.94
ACH-0045,Electronics Damage,,Villa,Europe - EU,,18.7,5,Yes,No,No,No,No,No damage at checkout,No,No photo/video evidence,125,Within Window - Days 3-7,5.5,Yes,0.66,2023-08-17,2023-08-18,1,1768.27,Charged,Reimbursement,Group Composition Risk - Children Present,601.21,601.21
ACH-0046,Linen/Bedding Stain,Torn Fabric,Condo,Europe - UK,,10.1,8,No,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,53,Within Window - Days 3-7,0,N/A,0,2023-10-17,2023-10-24,7,153.11,Waived,N/A,Guest Evidence Verified - Checkout Condition Confirmed,0,0
ACH-0047,Deep Cleaning Required,,Villa,Europe - UK,,14.6,4,Yes,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,223,Within Window - Days 8-14,0,N/A,0,2024-04-08,2024-04-13,5,402.86,Waived,N/A,Guest Evidence Verified - Checkout Condition Confirmed,0,0
ACH-0048,Wall/Ceiling Damage,Minor Scratch,Apartment,Europe - UK,,0.5,7,No,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,156,Within Window - Days 3-7,0,N/A,0,2024-02-05,2024-02-12,7,2105.96,Waived,N/A,Wall Minor Scratch - Not Covered,0,0
ACH-0049,Electronics Damage,,Apartment,North America - US,AZ,3.4,4,Yes,No,Yes,No,No,Pre-existing condition,No,No photo/video evidence,21,Within Window - 48 Hrs or Less,4.3,Yes,0.516,2023-09-26,2023-09-30,4,637.15,Waived,N/A,No Evidence - Fast Reporting Supports Guest,0,0
ACH-0050,Appliance Damage,,Villa,Europe - EU,,461.5,8,No,No,No,No,No,Pre-existing condition,No,No photo/video evidence,76,Within Window - Days 3-7,4.0,Yes,0.48,2023-10-29,2023-10-30,1,1540.22,Waived,N/A,Ineligible - Incident Beyond 100m Radius of Listing,0,0
ACH-0051,Appliance Damage,,Condo,Europe - EU,,19.2,8,No,No,No,No,No,Pre-existing condition,No,No photo/video evidence,24,Within Window - 48 Hrs or Less,1.7,Yes,0.204,2024-03-03,2024-03-21,18,812.52,Waived,N/A,No Evidence - Fast Reporting Supports Guest,0,0
ACH-0052,Kitchenware Breakage,,Condo,Asia Pacific,,10.2,1,No,No,No,No,No,No damage at checkout,No,No photo/video evidence,43,Within Window - 48 Hrs or Less,0,N/A,0,2023-09-04,2023-09-06,2,136.67,Charged,Reimbursement,Prompt Reporting (Within 48 Hrs) - Host Claim Supported,136.67,136.67
ACH-0053,Scratch Damage,Minor Scratch,Cabin,North America - US,NC,13.9,3,Yes,No,Yes,No,No,No damage at checkout,No,No photo/video evidence,128,Within Window - Days 3-7,0,N/A,0,2024-02-15,2024-03-01,15,692.25,Waived,N/A,Minor Scratch - Normal Wear and Tear,0,0
ACH-0054,Missing Item,,Apartment,Australia/NZ,,80.8,7,No,No,No,Yes,No,No damage at checkout,No,No photo/video evidence,1,Within Window - 48 Hrs or Less,1.6,Yes,0.192,2024-03-10,2024-03-18,8,757.69,Waived,N/A,Missing Item - No Pre-Checkin Proof of Existence,0,0
ACH-0055,Art & Valuables Damage,,Cabin,Australia/NZ,,19.8,7,No,Yes,No,No,No,No damage at checkout,No,No photo/video evidence,15,Within Window - 48 Hrs or Less,2.5,No,0.0,2024-05-03,2024-05-05,2,6155.38,Charged,Reimbursement,Prompt Reporting (Within 48 Hrs) - Host Claim Supported,6155.38,6155.38
ACH-0056,Missing Item,,Condo,Europe - UK,,8.0,3,No,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,7,Within Window - 48 Hrs or Less,4.1,Yes,0.492,2024-02-26,2024-03-06,9,917.82,Charged,Reimbursement,Missing Item Confirmed - Depreciation Applied (49%),466.25,466.25
ACH-0057,Appliance Damage,,House,Australia/NZ,,9.2,3,No,No,No,Yes,No,No damage at checkout,No,No photo/video evidence,46,Within Window - 48 Hrs or Less,7.1,Yes,0.8,2023-12-27,2024-01-02,6,1322.81,Charged,Replacement,"Damage Confirmed - Repair Costlier Than Replacement, Replace",264.56,264.56
ACH-0058,Carpet/Flooring Damage,,Apartment,North America - US,CA,19.3,5,Yes,No,No,Yes,No,Pre-existing condition,No,No photo/video evidence,0,Within Window - 48 Hrs or Less,0,N/A,0,2024-07-19,2024-07-22,3,3007.17,Waived,N/A,No Evidence - Fast Reporting Supports Guest,0,0
ACH-0059,Electronics Damage,,Condo,Asia Pacific,,9.9,6,No,No,No,Yes,No,No damage at checkout,No,No photo/video evidence,147,Within Window - Days 3-7,2.8,Yes,0.336,2024-05-20,2024-05-22,2,1053.69,Charged,Replacement,"Damage Confirmed - Not Repairable, Replacement Required",699.65,699.65
ACH-0060,Scratch Damage,Major Scratch (Affects Aesthetics),Apartment,North America - US,AZ,4.3,6,No,No,Yes,No,No,No damage at checkout,No,No photo/video evidence,105,Within Window - Days 3-7,0,N/A,0,2024-07-12,2024-07-13,1,222.26,Charged,Repair,"Major Scratch - Affects Aesthetics, Repair Recommended",222.26,222.26
ACH-0061,Pet Damage,,House,North America - US,NY,3.1,3,No,No,No,Yes,Yes,No damage at checkout,No,No photo/video evidence,4,Within Window - 48 Hrs or Less,0,N/A,0,2024-01-29,2024-01-30,1,232.47,Waived,N/A,ESA/Regional Policy Override (NY/CA),0,0
ACH-0062,Electronics Damage,,Condo,North America - US,NY,6.1,3,No,No,No,No,No,Pre-existing condition,Yes,Guest: checkin photo/video (claims pre-existing),173,Within Window - Days 8-14,7.8,Yes,0.8,2024-04-26,2024-05-04,8,941.29,Waived,N/A,Guest Evidence Verified - Pre-existing Confirmed,0,0
ACH-0063,Carpet/Flooring Damage,,House,North America - US,IL,8.2,3,No,No,No,No,No,Pre-existing condition,Yes,Guest: checkin photo/video (claims pre-existing),21,Within Window - 48 Hrs or Less,0,N/A,0,2024-01-22,2024-02-04,13,350.73,Waived,N/A,Guest Evidence Verified - Pre-existing Confirmed,0,0
ACH-0064,Carpet/Flooring Damage,,Villa,Asia Pacific,,343.7,4,No,No,No,Yes,No,Pre-existing condition,Yes,Guest: checkin photo/video (claims pre-existing),4,Within Window - 48 Hrs or Less,0,N/A,0,2024-03-05,2024-03-25,20,2914.65,Waived,N/A,Ineligible - Incident Beyond 100m Radius of Listing,0,0
ACH-0065,Furniture Damage,,Condo,North America - Canada,,4.8,3,Yes,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,46,Within Window - 48 Hrs or Less,6.7,Yes,0.8,2024-07-15,2024-07-19,4,1265.45,Waived,N/A,Guest Evidence Verified - Checkout Condition Confirmed,0,0
ACH-0066,Kitchenware Breakage,,Apartment,Australia/NZ,,75.4,6,No,No,Yes,Yes,No,Pre-existing condition,No,No photo/video evidence,96,Within Window - Days 3-7,0,N/A,0,2024-01-14,2024-01-16,2,275.59,Charged,Reimbursement,No Evidence - Delayed Reporting Weakens Guest Claim,275.59,275.59
ACH-0067,Electronics Damage,,Apartment,Australia/NZ,,14.1,1,Yes,No,No,Yes,No,No damage at checkout,No,No photo/video evidence,161,Within Window - Days 3-7,5.8,Yes,0.696,2023-08-01,2023-08-07,6,3159.46,Charged,Reimbursement,Group Composition Risk - Children Present,960.48,960.48
ACH-0068,Kitchenware Breakage,,Apartment,North America - Canada,,14.0,8,No,No,No,No,No,Pre-existing condition,Yes,Guest: checkin photo/video (claims pre-existing),30,Within Window - 48 Hrs or Less,0,N/A,0,2023-11-09,2023-11-15,6,201.58,Waived,N/A,Guest Evidence Verified - Pre-existing Confirmed,0,0
ACH-0069,Linen/Bedding Stain,General Stain (washable),House,North America - US,TX,10.7,6,Yes,No,No,No,No,No damage at checkout,No,No photo/video evidence,294,Within Window - Days 8-14,0,N/A,0,2024-05-07,2024-05-20,13,55.65,Waived,N/A,Washable Stain - Normal Wear and Tear,0,0
ACH-0070,Electronics Damage,,Villa,North America - US,CA,45.7,7,No,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,156,Within Window - Days 3-7,2.8,Yes,0.336,2024-09-16,2024-09-23,7,1491.17,Waived,N/A,Guest Evidence Verified - Checkout Condition Confirmed,0,0
ACH-0071,Deep Cleaning Required,,Condo,North America - Canada,,6.3,3,Yes,No,Yes,Yes,No,No damage at checkout,No,No photo/video evidence,137,Within Window - Days 3-7,0,N/A,0,2024-06-03,2024-06-19,16,208.88,Charged,Reimbursement,Party Flagged - Damage Attributed to Event,208.88,208.88
ACH-0072,Pet Damage,,Apartment,Asia Pacific,,61.1,1,No,No,No,Yes,Yes,No damage at checkout,Yes,Guest: checkout photo/video,8,Within Window - 48 Hrs or Less,0,N/A,0,2023-11-20,2023-11-21,1,1050.33,Waived,N/A,Guest Evidence Verified - Checkout Condition Confirmed,0,0
ACH-0073,Carpet/Flooring Damage,,House,North America - US,IL,14.0,1,No,No,No,Yes,No,No damage at checkout,Yes,Guest: checkout photo/video,51,Within Window - Days 3-7,0,N/A,0,2024-09-27,2024-09-28,1,621.75,Waived,N/A,Guest Evidence Verified - Checkout Condition Confirmed,0,0
ACH-0074,Furniture Damage,,Condo,Europe - UK,,0.9,7,No,No,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,105,Within Window - Days 3-7,1.8,Yes,0.216,2023-12-12,2023-12-17,5,2352.33,Waived,N/A,Guest Evidence Verified - Checkout Condition Confirmed,0,0
ACH-0075,Kitchenware Breakage,,Cabin,North America - US,TX,0.0,8,Yes,No,No,No,No,No damage at checkout,No,No photo/video evidence,32,Within Window - 48 Hrs or Less,0,N/A,0,2024-08-04,2024-08-05,1,17.11,Charged,Reimbursement,Group Composition Risk - Children Present,17.11,17.11
ACH-0076,Furniture Damage,,Villa,Europe - EU,,12.8,6,No,No,No,No,No,No damage at checkout,No,No photo/video evidence,57,Within Window - Days 3-7,7.5,Yes,0.8,2023-10-26,2023-11-11,16,2232.57,Charged,Replacement,"Damage Confirmed - Repair Costlier Than Replacement, Replace",446.51,446.51
ACH-0077,Scratch Damage,Minor Scratch,Villa,Australia/NZ,,448.4,3,No,No,No,Yes,No,No damage at checkout,Yes,Guest: checkout photo/video,3,Within Window - 48 Hrs or Less,0,N/A,0,2024-09-25,2024-09-27,2,571.08,Waived,N/A,Ineligible - Incident Beyond 100m Radius of Listing,0,0
ACH-0078,Wall/Ceiling Damage,Paint Damage,Villa,Australia/NZ,,52.3,6,No,No,No,No,No,No damage at checkout,No,No photo/video evidence,440,Outside 14-Day Window (Rejected),0,N/A,0,2024-03-25,2024-03-31,6,585.59,Waived,N/A,Claim Rejected - Reported Outside 14-Day Window,0,0
ACH-0079,Scratch Damage,Minor Scratch,Apartment,Australia/NZ,,11.6,2,Yes,No,Yes,No,No,No damage at checkout,Yes,Guest: checkout photo/video,13,Within Window - 48 Hrs or Less,0,N/A,0,2024-06-04,2024-06-06,2,280.67,Waived,N/A,Minor Scratch - Normal Wear and Tear,0,0
ACH-0080,Linen/Bedding Stain,General Stain (washable),Cabin,North America - US,CA,2.8,7,No,No,No,Yes,No,Pre-existing condition,Yes,Guest: checkin photo/video (claims pre-existing),142,Within Window - Days 3-7,0,N/A,0,2024-01-09,2024-01-12,3,141.89,Waived,N/A,Guest Evidence Verified - Pre-existing Confirmed,0,0
ACH-0081,Kitchenware Breakage,,Cabin,North America - US,CA,14.4,4,No,No,No,No,No,No damage at checkout,No,No photo/video evidence,5,Within Window - 48 Hrs or Less,0,N/A,0,2023-10-10,2023-10-18,8,268.4,Charged,Reimbursement,Prompt Reporting (Within 48 Hrs) - Host Claim Supported,268.4,268.4
ACH-0082,Carpet/Flooring Damage,,Condo,North America - Canada,,98.4,6,No,Yes,No,No,No,No damage at checkout,Yes,Guest: checkout photo/video,31,Within Window - 48 Hrs or Less,0,N/A,0,2024-07-07,2024-07-09,2,3369.95,Waived,N/A,Guest Evidence Verified - Checkout Condition Confirmed,0,0
ACH-0083,Missing Item,,Apartment,Asia Pacific,,1.2,2,Yes,No,No,Yes,No,Pre-existing condition,Yes,Guest: checkin photo/video (claims pre-existing),40,Within Window - 48 Hrs or Less,6.8,Yes,0.8,2023-11-29,2023-12-19,20,61.48,Waived,N/A,Missing Item - No Pre-Checkin Proof of Existence,0,0
ACH-0084,Deep Cleaning Required,,Condo,North America - US,NC,15.9,2,Yes,No,No,No,No,Pre-existing condition,No,No photo/video evidence,14,Within Window - 48 Hrs or Less,0,N/A,0,2024-07-29,2024-07-30,1,410.87,Waived,N/A,No Evidence - Fast Reporting Supports Guest,0,0
ACH-0085,Scratch Damage,Major Scratch (Affects Aesthetics),Cabin,Asia Pacific,,7.1,8,No,Yes,Yes,Yes,No,No damage at checkout,No,No photo/video evidence,28,Within Window - 48 Hrs or Less,0,N/A,0,2023-11-09,2023-11-12,3,573.53,Charged,Repair,"Major Scratch - Affects Aesthetics, Repair Recommended",573.53,573.53
ACH-0086,Appliance Damage,,House,North America - Canada,,3.5,2,Yes,No,No,No,No,No damage at checkout,No,No photo/video evidence,29,Within Window - 48 Hrs or Less,3.3,Yes,0.396,2024-05-27,2024-06-04,8,1094.72,Charged,Reimbursement,Group Composition Risk - Children Present,661.21,661.21
